Timestamp,Type,Name/Address,Signal Strength,Frequency,Latitude,Longitude,Additional Info
2024-12-09 06:22:15.400459,Bluetooth,3E-AC-BE-E9-5B-8C [3E:AC:BE:E9:5B:8C],-70,2.4 GHz,39.74550168178117,-104.98288603873745,
2024-12-09 06:22:15.405996,Bluetooth,AC-D5-64-95-71-02 [AC:D5:64:95:71:02],-70,2.4 GHz,39.73724507176111,-104.99334915441825,
2024-12-09 06:22:15.410134,Bluetooth,D0-03-DF-5F-4F-39 [D0:03:DF:5F:4F:39],-70,2.4 GHz,39.74472861795892,-104.99823355936532,
2024-12-09 06:22:15.414246,Bluetooth,6A-21-64-D2-D5-73 [6A:21:64:D2:D5:73],-70,2.4 GHz,39.73433855666676,-104.98360100492859,
2024-12-09 06:22:15.418258,Bluetooth,D0-03-DF-5F-54-8B [D0:03:DF:5F:54:8B],-70,2.4 GHz,39.74116661079487,-104.98760227076144,
2024-12-09 06:22:15.422199,Bluetooth,72-F6-A7-78-6F-38 [72:F6:A7:78:6F:38],-70,2.4 GHz,39.732842909201565,-104.99350973512544,
2024-12-09 06:22:15.426189,Bluetooth,D0-03-DF-5F-54-51 [D0:03:DF:5F:54:51],-70,2.4 GHz,39.74477487303243,-104.99433858344726,
2024-12-09 06:22:15.430108,Bluetooth,68-72-C3-C8-4E-21 [68:72:C3:C8:4E:21],-70,2.4 GHz,39.74905134141057,-104.99381268237912,
2024-12-09 06:22:15.434057,Bluetooth,D0-03-DF-5F-54-11 [D0:03:DF:5F:54:11],-70,2.4 GHz,39.735566579082715,-104.99177238917613,
2024-12-09 06:22:15.438252,Bluetooth,5B-20-81-84-FC-1F [5B:20:81:84:FC:1F],-70,2.4 GHz,39.73183781462706,-104.99747458315589,
2024-12-09 06:22:15.442289,Bluetooth,14-F6-D2-48-43-C7 [14:F6:D2:48:43:C7],-70,2.4 GHz,39.74362215298083,-104.98945501997994,
2024-12-09 06:22:15.446226,Bluetooth,TY [C4:82:E1:CB:C1:2D],-70,2.4 GHz,39.74529682275443,-104.98198347410198,
2024-12-09 06:22:15.450124,Bluetooth,3D-2D-97-04-6A-9B [3D:2D:97:04:6A:9B],-70,2.4 GHz,39.729752814388924,-104.990291883344,
2024-12-09 06:22:15.454038,Bluetooth,D0-03-DF-5F-4F-A5 [D0:03:DF:5F:4F:A5],-70,2.4 GHz,39.73603713334565,-104.9919512642752,
